131-015,4200
131-011,2200
131-014,3200
131-012,2500
131-013,3200
131-016,4200
131-312,7500
131-055,1800
131-051,1800
131-054,1800
131-052,1800
131-053,1800
131-056,1800
131-021,2300
131-024,3900
131-022,2300
131-027,3900
131-023,3000
131-075,1700
131-071,1700
131-074,1700
131-072,1700
131-073,1700
131-076,1700
131-065,1100
131-061,1100
131-064,1100
131-062,1100
131-063,1100
131-066,1100
131-035,5200
131-031,3900
131-032,3900
131-037,3900
131-033,3900
131-036,5200
134-039,148
134-021,187
134-038,187
134-020,187
134-037,148
134-036,102
134-034,102
134-024,392
134-023,392
134-002,721
134-001,721
134-003,721
134-004,721
134-005,721
134-026,392
133-012,29906
134-045,1082
104-431,1082
134-049,655
104-421,1148
134-048,655
134-030,957
134-047,655
134-035,102
134-022,885
134-033,187
134-027,187
134-032,187
134-017,233
134-031,187
134-029,1214
134-028,1645
134-016,786
134-011,1379
134-013,1379
134-015,786
134-012,1420
134-014,786
134-112,1379
121-125-3,500
121-125,1300
121-125-4,600
121-125-6,900
121-121-6,800
121-121,900
121-121-4,600
121-124-6,900
121-124,1300
121-124-4,600
121-122-6,800
121-122,900
121-122-4,600
121-128,1100
121-123-3,500
121-123-6,900
121-123,1300
121-123-4,600
121-126-3,500
121-126-6,900
121-126,1300
121-126-4,600
245-119,28300
245-109,13100
121-325,1400
121-325-4,800
121-321,1000
121-321-4,800
121-324,1400
121-324-4,800
121-322,1000
121-322-4,800
121-329-6,1200
121-329,1400
121-329-4,800
121-323,1400
121-323-4,800
121-326-4,800
121-325-14,6500
121-325-06,3900
121-329-14,6500
121-329-06,3900
121-326-14,6500
121-326-06,3900
121-255,1400
121-255-4,800
121-251,1100
121-254,1400
121-252,1100
121-253,1400
121-256,1400
121-256-4,800
124-313,655
124-311,655
124-321,655
124-223,655
124-222,655
124-221,655
104-200,144
104-201,144
104-313,3221
104-312,3221
124-113,655
124-111,392
124-121,392
123-013,6876
123-034,6876
123-032,5231
123-031,2892
104-411,457
124-021-3,1148
124-011,1148
124-021,1148
255-009,2000
255-015,1700
255-019,1700
255-013,1700
255-016,1700
255-025,3600
255-023,3000
255-026,3600
255-034-6,5200
255-033-6,5200
255-037-6,5200
255-034,7200
255-039,5200
255-033,5900
255-037,7900
255-036,7900
255-035,7200
255-055,7200
255-051,5900
255-054,5200
255-052,5200
255-053,5900
255-056,7200
255-032,7200
255-041,5200
255-044,5200
255-042,5200
255-031,5200
255-046,7200
255-137-6,9200
255-136-6,9200
255-138-6,9200
255-137,11800
255-136,11200
255-138,11800
245-209,17400
255-145,11800
255-141,11200
255-144,11800
255-147,10800
255-142,11200
255-148,10800
255-143,11200
255-146,11800
255-135,11800
255-131,11200
255-134,10800
255-132,11200
255-133,11200
255-156,10800
255-165,13100
255-161,11800
255-164,13100
255-162,11800
255-163,11800
255-166,13100
255-275,11500
255-215,13100
255-213,13100
255-205,14100
255-201,13100
255-204,14100
255-202,13100
255-203,13100
255-206,14100
255-225,14100
255-221,13100
255-224,14100
255-222,11800
255-223,11800
255-226,14100
255-235,16700
255-231,15800
255-234,15100
255-232,15800
255-233,16700
255-236,16700
255-285,22000
255-281,21400
255-284,19000
255-282,21400
255-283,21400
255-286,22000
255-265,26600
255-266,26600
255-245,22000
255-345,19000
255-241,21400
255-244,21400
255-242,21400
255-243,21400
255-246,22000
255-255,26600
255-253,26600
255-256,26600
255-295,40800
255-296,40800
235-025,2200
235-029,2200
235-023,2200
235-026,2200
235-035,2900
235-039,2900
235-033,2900
235-036,2900
235-045,5200
235-049,5200
235-055,5200
235-059,5200
235-053,5200
